id,gu_name,name,rate,address,x_pos,y_pos,main_dishes,price,image_path
0,종로구,BAR CHAM,4.8,서울시 종로구 통인동 135-5,37.5791709,126.9703851,칵테일 / 와인,2만원-3만원,../img/food_img/0.png
1,종로구,우육면관,4.8,서울시 종로구 청진동 39,37.5720351,126.9812418,기타 중식,만원-2만원,../img/food_img/1.png
2,종로구,모던샤브하우스,4.8,서울시 종로구 청진동 246 D타워 리플레이스 광화문 5F,37.5710694,126.978929,탕 / 찌개 / 전골,4만원 이상,../img/food_img/2.png
3,종로구,효제루,4.8,서울시 종로구 효제동 301-2 1F,37.5726766,127.002223,정통 중식 / 일반 중식,만원-2만원,../img/food_img/3.png
4,종로구,만가타,4.7,서울시 종로구 소격동 88-17,37.5801818,126.980987,세계음식 기타,4만원 이상,../img/food_img/4.png
5,종로구,호반,4.7,서울시 종로구 낙원동 85-7,37.5732996,126.989146,한정식 / 백반 / 정통 한식,2만원-3만원,../img/food_img/5.png
6,종로구,데시데,4.7,서울시 종로구 사간동 41 1F,37.5778224,126.9805073,카페 / 디저트,만원 미만,../img/food_img/6.png
7,종로구,부촌육회,4.7,서울시 종로구 종로4가 176-1 1F,37.570669,126.9998978,고기 요리,만원-2만원,../img/food_img/7.png
8,종로구,호라파,4.7,서울시 종로구 통인동 137-15 2F,37.5793824,126.9711048,태국 음식,만원-2만원,../img/food_img/8.png
9,종로구,스시소라,4.6,서울시 종로구 종로1가 24 르메이에르종로타운 B동 B116 B-1호,37.5709593,126.9798759,정통 일식 / 일반 일식,4만원 이상,../img/food_img/9.png
10,종로구,팔마,4.6,서울시 종로구 필운동 170 1F,37.5776993,126.9696674,퓨전 양식,만원 미만,../img/food_img/10.png
11,종로구,부촌육회,4.6,서울시 종로구 종로4가 165-11,37.5703767,126.9999333,고기 요리,만원-2만원,../img/food_img/11.png
12,종로구,폴앤폴리나,4.6,서울시 종로구 내수동 74 1F,37.5737827,126.9731648,베이커리,만원 미만,../img/food_img/12.png
13,종로구,우육면관,4.6,서울시 종로구 관철동 11-11,37.5685803,126.9861475,기타 중식,만원 미만,../img/food_img/13.png
14,종로구,수도원,4.6,서울시 종로구 동숭동 50-11 B1,37.581739,127.0047725,칵테일 / 와인,만원-2만원,../img/food_img/14.png
15,종로구,갈로팡,4.6,서울시 종로구 계동 99-12 2F,37.5791619,126.986022,프랑스 음식,4만원 이상,../img/food_img/15.png
16,종로구,일월카츠,4.6,서울시 종로구 계동 144-1 1F,37.578104,126.98659,까스 요리,만원-2만원,../img/food_img/16.png
17,종로구,광장시장 찹쌀꽈배기,4.6,서울시 종로구 종로4가 188 105호,37.5706169,127.0004194,카페 / 디저트,만원 미만,../img/food_img/17.png
18,종로구,혜화도담,4.6,서울시 종로구 명륜4가 48-2,37.5830216,127.000448,한정식 / 백반 / 정통 한식,만원 미만,../img/food_img/18.png
19,종로구,밀림,4.6,서울시 종로구 창신동 23-663,37.5759655,127.0116641,태국 음식,만원-2만원,../img/food_img/19.png
